AREA,orientation,n,originalPlace,year
75617300000,l,1,anapa,2004
75617300000,k,1,anapa,2009
752945000000,l,2,angarsk,2004
752945000000,k,3,angarsk,2010
752945000000,k,2,angarsk,2008
95796800000,l,1,anzhero,2011
95796800000,l,1,anzhero,2005
74753800000,k,1,aniva,2006
74753800000,k,1,aniva,2005
168126000000,l,1,anui,2006
168126000000,k,1,anui,2005
168126000000,l,1,anui,2003
45938100000,l,1,aprelevka,2010
45938100000,k,1,aprelevka,2003
45938100000,l,1,aprelevka,2013
45938100000,k,1,aprelevka,2005
1009120000,l,2,arbat,2008
1009120000,k,7,arbat,2011
1009120000,l,5,arbat,2007
1009120000,k,8,arbat,2006
61652100000,l,1,arbatov,2007
61652100000,k,4,arbatov,2006
61652100000,l,1,arbatov,2008
61652100000,k,8,arbatov,2005
19253200000,l,1,argun,2004
19253200000,k,1,argun,2004
19253200000,l,2,argun,2011
19253200000,k,1,argun,2003
413018000000,k,1,argun',2007
413018000000,l,1,argun',2004
76790200000,l,1,arzamas,2013
76790200000,k,2,arzamas,2010
76790200000,l,1,arzamas,2011
76790200000,k,2,arzamas,2003
75617300000,l,1,armavir,2007
75617300000,k,1,armavir,2010
75617300000,l,1,armavir,2010
75617300000,k,2,armavir,2007
165229000000,l,1,arsen'ev,2009
165229000000,k,1,arsen'ev,2011
165229000000,l,2,arsen'ev,2006
165229000000,k,2,arsen'ev,2004
307619000000,l,4,arkhangel'sk,2007
307619000000,k,3,arkhangel'sk,2008
307619000000,l,3,arkhangel'sk,2003
307619000000,k,2,arkhangel'sk,2013
14278500000,l,1,arkhyz,2005
14278500000,k,1,arkhyz,2009
14278500000,k,1,arkhyz,2003
17090600,k,1,askol'd,2008
17090600,l,2,askol'd,2012
17090600,k,1,askol'd,2012
61652100000,k,2,assr,2008
61652100000,l,1,assr,2012
61652100000,k,1,assr,2005
50589800000,l,1,astrakhan',2010
50589800000,k,5,astrakhan',2009
50589800000,l,5,astrakhan',2012
50589800000,k,6,astrakhan',2007
50589800000,l,1,akhtubinsk,2012
50589800000,k,1,akhtubinsk,2009
50589800000,l,1,akhtubinsk,2011
50589800000,k,1,akhtubinsk,2004
4496400000,l,1,achinsk,2008
4496400000,k,1,achinsk,2007
88634600000,l,1,asha,2004
88634600000,k,1,asha,2012
351792000000,l,3,babushkin,2004
351792000000,k,2,babushkin,2011
351792000000,l,1,babushkin,2012
351792000000,k,4,babushkin,2009
88634600000,l,3,bagariak,2012
52206800000,l,1,bagrationi,2004
52206800000,k,1,bagrationi,2006
52206800000,l,1,bagrationi,2008
752945000000,l,3,baikal'sk,2010
752945000000,k,5,baikal'sk,2008
12455100000,l,1,baksan,2011
12455100000,k,1,baksan,2006
12455100000,k,1,baksan,2007
101141000000,k,1,balakovo,2007
101141000000,l,1,balakovo,2006
101141000000,k,1,balakovo,2006
76790200000,k,1,balakhna,2005
45938100000,l,1,balashikha,2009
45938100000,k,1,balashikha,2003
45938100000,l,2,balashikha,2010
45938100000,k,2,balashikha,2005
101141000000,l,2,balashov,2010
101141000000,k,1,balashov,2005
101141000000,l,1,balashov,2007
101141000000,k,2,balashov,2008
12455100000,l,3,balkariia,2010
12455100000,k,2,balkariia,2011
12455100000,l,1,balkariia,2011
12455100000,k,5,balkariia,2007
1.888,l,1,baltiisk,2009
1.888,k,2,baltiisk,2009
1.888,l,1,baltiisk,2013
1.888,k,1,baltiisk,2008
1009120000,l,2,balchug,2003
1009120000,k,1,balchug,2005
1009120000,k,2,balchug,2006
45938100000,l,1,barvikha,2008
45938100000,k,1,barvikha,2007
45938100000,l,2,barvikha,2003
45938100000,k,1,barvikha,2004
168126000000,l,5,barnaul,2005
168126000000,k,5,barnaul,2009
168126000000,k,10,barnaul,2008
37242500000,l,4,barysh,2012
37242500000,k,1,barysh,2012
37242500000,k,2,barysh,2011
1009120000,l,4,basmannyi,2004
1009120000,k,5,basmannyi,2005
1009120000,l,8,basmannyi,2012
1009120000,k,1,basmannyi,2003
101055000000,l,1,bataisk,2012
101055000000,k,1,bataisk,2003
142986000000,l,4,bashkiriia,2008
142986000000,k,1,bashkiriia,2009
142986000000,l,8,bashkiriia,2005
142986000000,k,4,bashkiriia,2004
142986000000,l,3,bashkortostan,2012
142986000000,k,2,bashkortostan,2009
142986000000,l,3,bashkortostan,2003
142986000000,k,7,bashkortostan,2008
84480900000,l,1,bezhetsk,2008
27156700000,l,2,belgorod,2012
27156700000,k,3,belgorod,2013
27156700000,l,2,belgorod,2006
27156700000,k,3,belgorod,2008
168126000000,k,1,belokurikha,2009
168126000000,k,1,belokurikha,2005
142986000000,l,1,beloretsk,2010
142986000000,k,1,beloretsk,2011
92969500000,l,1,belukha,2012
92969500000,k,1,belukha,2007
92969500000,l,1,belukha,2008
1009120000,l,1,beliaevo,2012
1009120000,k,1,beliaevo,2012
1009120000,l,1,beliaevo,2005
177881000000,k,1,berdsk,2006
177881000000,k,1,berdsk,2003
1009120000,l,1,bibirevo,2011
1009120000,k,3,bibirevo,2007
1009120000,l,1,bibirevo,2003
1009120000,k,1,bibirevo,2003
168126000000,k,2,biisk,2008
168126000000,l,1,biisk,2005
168126000000,k,2,biisk,2012
709138000000,l,1,bilibino,2013
709138000000,k,2,bilibino,2005
709138000000,k,2,bilibino,2012
35776700000,k,1,birobidzhan,2005
35776700000,k,2,birobidzhan,2008
1009120000,l,1,biriulevo,2007
1009120000,k,1,biriulevo,2011
1009120000,l,2,biriulevo,2008
1009120000,k,1,biriulevo,2009
362638000000,l,2,blagoveshchensk,2011
362638000000,k,11,blagoveshchensk,2008
362638000000,l,7,blagoveshchensk,2005
25714300000,k,1,bogoroditsk,2006
76790200000,k,1,bogorodsk,2008
76790200000,k,1,bogorodsk,2005
84480900000,l,3,bologoe,2004
84480900000,k,1,bologoe,2010
84480900000,k,3,bologoe,2006
52206800000,l,1,borisoglebsk,2012
52206800000,k,1,borisoglebsk,2010
52206800000,l,2,borisoglebsk,2005
52206800000,k,2,borisoglebsk,2006
55092400000,k,1,borovichi,2006
55092400000,k,1,borovichi,2003
29801200000,k,2,borovsk,2008
29801200000,l,1,borovsk,2010
29801200000,k,2,borovsk,2006
45938100000,l,1,borodino,2005
45938100000,k,1,borodino,2009
45938100000,l,2,borodino,2012
45938100000,k,3,borodino,2007
1009120000,l,1,brateevo,2013
1009120000,k,1,brateevo,2003
1009120000,l,1,brateevo,2003
752945000000,l,2,bratsk,2010
752945000000,k,2,bratsk,2011
752945000000,l,2,bratsk,2011
752945000000,k,2,bratsk,2008
34920400000,l,2,briansk,2011
34920400000,k,2,briansk,2010
34920400000,l,2,briansk,2012
34920400000,k,3,briansk,2007
68035300000,l,1,bugul'ma,2004
68035300000,k,1,bugul'ma,2008
68035300000,k,1,bugul'ma,2006
66180200000,l,1,budennovsk,2008
66180200000,k,4,budennovsk,2003
66180200000,l,1,budennovsk,2006
66180200000,k,1,budennovsk,2010
49932100000,l,1,buinaksk,2013
49932100000,k,1,buinaksk,2003
49932100000,l,1,buinaksk,2003
351792000000,l,1,buriatiia,2008
351792000000,k,5,buriatiia,2012
351792000000,l,2,buriatiia,2007
351792000000,k,2,buriatiia,2004
84212600000,l,1,buslovo,2011
84212600000,k,5,buslovo,2010
84212600000,k,1,buslovo,2011
84480900000,k,1,vazuza,2010
3262520000,l,1,vaigach,2012
3262520000,k,1,vaigach,2010
3262520000,k,1,vaigach,2007
172464000000,l,1,valaam,2010
172464000000,k,3,valaam,2003
172464000000,l,1,valaam,2003
55092400000,l,5,valdai,2009
55092400000,k,1,valdai,2013
55092400000,l,2,valdai,2003
55092400000,k,1,valdai,2006
782666000000,l,1,vanino,2012
782666000000,k,1,vanino,2005
307619000000,l,3,vel'sk,2012
307619000000,k,2,vel'sk,2009
128003000000,k,1,vereshchagino,2007
128003000000,k,1,vereshchagino,2004
45938100000,l,1,vereia,2009
45938100000,k,4,vereia,2010
45938100000,l,1,vereia,2010
143071000000,l,1,vidiaevo,2008
143071000000,l,1,vidiaevo,2011
3035630000000,k,1,viliuisk,2006
168126000000,l,2,vipa,2008
168126000000,k,2,vipa,2010
168126000000,l,1,vipa,2004
168126000000,k,1,vipa,2009
3035630000000,l,1,vitim,2012
3035630000000,l,1,vitim,2005
165229000000,l,4,vladivostok,2007
165229000000,k,6,vladivostok,2010
165229000000,l,2,vladivostok,2003
165229000000,k,13,vladivostok,2007
7998460000,l,6,vladikavkaz,2008
7998460000,k,17,vladikavkaz,2004
7998460000,k,12,vladikavkaz,2008
101055000000,l,1,vladimirov,2005
101055000000,k,2,vladimirov,2007
101055000000,l,1,vladimirov,2009
101055000000,k,2,vladimirov,2011
112861000000,l,1,volgograd,2011
112861000000,k,3,volgograd,2003
112861000000,l,5,volgograd,2013
112861000000,k,7,volgograd,2008
101055000000,l,1,volgodonsk,2013
101055000000,k,1,volgodonsk,2006
101055000000,l,1,volgodonsk,2005
101055000000,k,3,volgodonsk,2004
23393200000,l,1,volzhsk,2005
23393200000,l,2,volzhsk,2006
23393200000,k,1,volzhsk,2006
145444000000,l,2,vologda,2011
145444000000,k,4,vologda,2004
145444000000,l,1,vologda,2008
145444000000,k,3,vologda,2007
45938100000,l,1,volokolamsk,2008
45938100000,k,1,volokolamsk,2012
45938100000,l,1,volokolamsk,2009
45938100000,k,1,volokolamsk,2008
84212600000,l,1,volkhov,2011
84212600000,k,1,volkhov,2006
84212600000,l,1,volkhov,2005
84212600000,k,1,volkhov,2005
101141000000,l,1,vol'sk,2007
101141000000,k,2,vol'sk,2007
52206800000,l,1,voronezh,2005
52206800000,k,3,voronezh,2010
52206800000,l,5,voronezh,2004
52206800000,k,16,voronezh,2007
143071000000,l,3,voron'ia,2010
143071000000,k,4,voron'ia,2007
143071000000,l,1,voron'ia,2009
143071000000,k,1,voron'ia,2006
45938100000,l,1,voskresensk,2012
45938100000,k,1,voskresensk,2004
45938100000,k,1,voskresensk,2009
42104800000,k,1,votkinsk,2009
42104800000,l,1,votkinsk,2006
84212600000,l,1,vsevolzhsk,2010
84212600000,l,1,vsevolozhsk,2008
84212600000,k,1,vsevolozhsk,2008
84212600000,l,2,vsevolozhsk,2012
84212600000,k,3,vsevolozhsk,2007
84212600000,l,2,vyborg,2003
84212600000,k,1,vyborg,2011
84212600000,l,1,vyborg,2011
84212600000,k,5,vyborg,2005
76790200000,l,1,vyksa,2012
76790200000,k,1,vyksa,2007
76790200000,l,1,vyksa,2005
76790200000,k,1,vyksa,2011
84212600000,k,1,vyritsa,2010
84212600000,l,1,vyritsa,2010
84212600000,l,2,vysotsk,2009
84212600000,k,5,vysotsk,2011
84212600000,l,1,vysotsk,2007
84212600000,k,2,vysotsk,2005
1009120000,l,1,vykhino,2012
1009120000,k,2,vykhino,2007
1009120000,l,2,vykhino,2003
1009120000,k,2,vykhino,2003
75617300000,l,1,vei,2012
75617300000,k,1,vei,2004
75617300000,l,1,vei,2013
75617300000,k,2,vei,2008
49871500000,l,2,viaz'ma,2013
49871500000,k,2,viaz'ma,2009
49871500000,k,3,viaz'ma,2007
19253200000,l,2,galashki,2012
19253200000,k,1,galashki,2007
19253200000,k,1,galashki,2004
84212600000,l,2,gatchina,2003
84212600000,k,2,gatchina,2013
84212600000,k,4,gatchina,2004
75617300000,l,1,gelendzhik,2011
75617300000,k,3,gelendzhik,2008
75617300000,l,1,gelendzhik,2012
75617300000,k,3,gelendzhik,2005
66180200000,l,1,georgievsk,2007
66180200000,k,1,georgievsk,2008
66180200000,k,1,georgievsk,2003
12404400,l,1,geral'd,2004
12404400,k,1,geral'd,2006
12404400,l,1,geral'd,2008
12404400,k,1,geral'd,2004
42104800000,l,2,glazov,2007
42104800000,k,2,glazov,2009
42104800000,l,1,glazov,2010
42104800000,k,1,glazov,2006
45938100000,k,1,golitsyno,2003
1009120000,k,2,gol'ianovo,2009
1009120000,k,1,gol'ianovo,2007
76790200000,k,2,gorbatov,2008
76790200000,l,1,gorbatov,2007
76790200000,k,1,gorbatov,2013
128003000000,k,1,gornozavodsk,2004
782666000000,k,1,goriun,2008
782666000000,k,2,goriun,2004
27156700000,k,2,gubkin,2004
27156700000,l,1,gubkin,2010
27156700000,k,4,gubkin,2007
19253200000,l,1,gudermes,2004
19253200000,k,3,gudermes,2005
19253200000,l,2,gudermes,2008
19253200000,k,1,gudermes,2004
49932100000,l,1,gunib,2008
49932100000,l,2,dagestan,2004
49932100000,k,6,dagestan,2010
49932100000,l,4,dagestan,2012
49932100000,k,8,dagestan,2006
75617300000,l,2,dagomys,2003
75617300000,k,4,dagomys,2004
165229000000,l,1,dal'negorsk,2007
165229000000,k,1,dal'negorsk,2008
7998460000,k,1,dar'ial,2013
84480900000,k,1,degunino,2008
84480900000,l,4,degunino,2011
45938100000,l,1,dedovsk,2011
45938100000,k,1,dedovsk,2009
76790200000,l,1,diveevo,2012
76790200000,k,1,diveevo,2012
76790200000,k,3,diveevo,2003
4496400000,l,1,divnogorsk,2008
4496400000,k,1,divnogorsk,2006
4496400000,l,1,divnogorsk,2004
4496400000,k,1,divnogorsk,2008
45938100000,l,1,dmitrov,2009
45938100000,k,1,dmitrov,2010
45938100000,l,1,dmitrov,2011
45938100000,k,1,dmitrov,2008
128003000000,l,1,dobrianka,2010
128003000000,k,1,dobrianka,2007
45938100000,l,1,dolgoprudnyi,2004
45938100000,k,1,dolgoprudnyi,2006
45938100000,l,1,dolgoprudnyi,2006
45938100000,k,2,dolgoprudnyi,2008
14278500000,l,1,dombai,2003
14278500000,k,3,dombai,2006
14278500000,k,1,dombai,2003
45938100000,l,6,domodedovo,2010
45938100000,k,10,domodedovo,2011
45938100000,l,4,domodedovo,2011
45938100000,k,2,domodedovo,2007
1009120000,k,1,dorogomilovo,2004
1009120000,l,1,dorogomilovo,2008
1009120000,k,1,dorogomilovo,2009
45938100000,l,3,dubna,2010
45938100000,k,1,dubna,2006
45938100000,l,1,dubna,2009
45938100000,k,1,dubna,2011
4496400000,l,1,dudinka,2008
4496400000,k,1,dudinka,2004
45938100000,k,1,dulevo,2005
75617300000,l,1,diurso,2012
75617300000,k,3,diurso,2012
34920400000,k,1,diat'kovo,2011
35776700000,k,1,eao,2010
35776700000,k,1,eao,2004
45938100000,k,1,egor'evsk,2012
45938100000,l,1,egor'evsk,2012
45938100000,k,1,egor'evsk,2010
4496400000,k,1,eika,2005
75617300000,k,1,eisk,2010
75617300000,l,1,eisk,2007
75617300000,k,3,eisk,2005
194272000000,l,10,ekaterinburg,2012
194272000000,k,9,ekaterinburg,2008
194272000000,l,2,ekaterinburg,2011
194272000000,k,5,ekaterinburg,2003
68035300000,k,1,elabuga,2012
68035300000,l,1,elabuga,2008
68035300000,k,1,elabuga,2003
49871500000,k,1,el'nia,2007
49871500000,k,1,el'nia,2006
4496400000,k,1,eniseisk,2004
4496400000,l,1,eniseisk,2009
4496400000,k,1,eniseisk,2011
66180200000,k,1,zheleznovodsk,2010
66180200000,l,1,zheleznovodsk,2006
66180200000,k,1,zheleznovodsk,2003
30003900000,k,1,zheleznogorsk,2009
30003900000,k,1,zheleznogorsk,2004
413018000000,l,1,zabaikal'sk,2012
413018000000,k,1,zabaikal'sk,2008
76790200000,k,1,zavolzh'e,2008
45938100000,l,2,zagorsk,2007
45938100000,k,1,zagorsk,2005
45938100000,k,1,zagorsk,2008
159839000000,k,1,zaikovy,2003
159839000000,l,1,zaikovy,2009
1009120000,l,2,zamoskvorech'e,2010
1009120000,k,1,zamoskvorech'e,2006
1009120000,l,1,zamoskvorech'e,2009
1009120000,k,3,zamoskvorech'e,2005
45938100000,k,1,zaraisk,2010
194272000000,k,1,zaural'e,2012
194272000000,k,2,zaural'e,2007
45938100000,l,1,zvenigorod,2010
45938100000,k,2,zvenigorod,2009
45938100000,l,1,zvenigorod,2011
45938100000,k,2,zvenigorod,2006
1404590000,k,1,zelenogorsk,2011
1404590000,k,1,zelenogorsk,2005
37361100,l,3,zelenograd,2011
37361100,k,3,zelenograd,2012
37361100,l,1,zelenograd,2006
37361100,k,2,zelenograd,2004
1.888,k,2,zelenogradsk,2009
1.888,l,1,zelenogradsk,2009
1.888,k,1,zelenogradsk,2008
68035300000,l,1,zelenodol'sk,2012
68035300000,k,1,zelenodol'sk,2008
68035300000,l,1,zelenodol'sk,2008
68035300000,k,2,zelenodol'sk,2009
88634600000,l,1,zlatoust,2008
88634600000,k,1,zlatoust,2007
88634600000,l,1,zlatoust,2003
88634600000,k,2,zlatoust,2009
84480900000,k,1,zubtsov,2008
45938100000,l,1,ziuzino,2012
45938100000,k,1,ziuzino,2007
45938100000,k,2,ziuzino,2005
145444000000,l,1,ziablikovo,2009
145444000000,k,2,ziablikovo,2006
145444000000,l,1,ziablikovo,2011
84212600000,k,1,ivangorod,2008
84212600000,l,1,ivangorod,2007
45938100000,l,1,ivanteevka,2003
45938100000,k,1,ivanteevka,2006
45938100000,l,1,ivanteevka,2004
45938100000,k,1,ivanteevka,2011
194272000000,l,1,ivdel',2009
194272000000,k,1,ivdel',2012
4496400000,k,1,igarka,2004
4496400000,l,1,igarka,2011
4496400000,k,1,igarka,2010
42104800000,l,5,izhevsk,2008
42104800000,k,4,izhevsk,2011
417593000000,k,1,izhma,2011
417593000000,k,1,izhma,2012
49932100000,l,1,izberbash,2006
49932100000,k,1,izberbash,2005
49932100000,l,1,izberbash,2010
55256800000,l,1,izborsk,2012
55256800000,k,1,izborsk,2004
19253200000,l,7,ingushetiia,2008
19253200000,k,11,ingushetiia,2004
19253200000,l,10,ingushetiia,2006
19253200000,k,1,ingushetiia,2011
1404590000,l,2,inf,2009
1404590000,k,1,inf,2009
66180200000,l,1,ipatovo,2010
66180200000,k,1,ipatovo,2009
66180200000,k,1,ipatovo,2003
752945000000,l,1,irkut,2013
752945000000,k,2,irkut,2008
752945000000,l,1,irkut,2003
752945000000,k,1,irkut,2007
752945000000,l,3,irkutsk,2005
752945000000,k,4,irkutsk,2010
752945000000,l,1,irkutsk,2013
752945000000,k,8,irkutsk,2004
194272000000,k,3,iset',2008
177881000000,l,1,iskitim,2006
177881000000,k,1,iskitim,2005
177881000000,l,1,iskitim,2011
177881000000,k,1,iskitim,2013
45938100000,l,1,istra,2005
45938100000,k,1,istra,2013
45938100000,l,1,istra,2011
45938100000,k,1,istra,2012
159839000000,l,1,ishim,2011
159839000000,k,1,ishim,2008
12455100000,l,4,kabardino,2010
12455100000,k,2,kabardino,2011
12455100000,l,1,kabardino,2011
12455100000,k,3,kabardino,2007
68035300000,l,5,kazan',2005
68035300000,k,3,kazan',2006
68035300000,l,4,kazan',2008
68035300000,k,15,kazan',2008
84212600000,l,1,kalanchevka,2012
84212600000,k,1,kalanchevka,2006
1.888,l,10,kaliningrad,2010
1.888,k,4,kaliningrad,2005
1.888,k,1,kaliningrad,2011
70525800000,l,2,kalmykiia,2013
70525800000,k,5,kalmykiia,2010
70525800000,l,1,kalmykiia,2008
70525800000,k,1,kalmykiia,2004
29801200000,l,2,kaluga,2013
29801200000,k,3,kaluga,2003
29801200000,l,1,kaluga,2010
29801200000,k,5,kaluga,2008
84480900000,l,1,kaliazin,2004
84480900000,k,3,kaliazin,2010
84480900000,k,1,kaliazin,2012
42104800000,l,1,kambarka,2010
42104800000,k,1,kambarka,2007
4496400000,l,1,kanatka,2013
4496400000,k,1,kanatka,2011
4496400000,l,1,kanatka,2007
18379500000,k,1,kanash,2004
18379500000,l,1,kanash,2009
143071000000,l,1,kandalaksha,2013
143071000000,k,1,kandalaksha,2011
143071000000,l,1,kandalaksha,2009
143071000000,k,2,kandalaksha,2008
4496400000,l,2,kansk,2006
4496400000,k,1,kansk,2003
4496400000,k,1,kansk,2007
88634600000,l,1,karabash,2010
88634600000,k,1,karabash,2012
88634600000,k,1,karabash,2003
14278500000,l,4,karachaevo,2010
14278500000,k,2,karachaevo,2009
14278500000,l,2,karachaevo,2005
14278500000,k,4,karachaevo,2011
14278500000,l,1,karachaevsk,2012
14278500000,k,1,karachaevsk,2003
14278500000,k,1,karachaevsk,2011
88634600000,l,1,karachai,2011
88634600000,k,2,karachai,2011
88634600000,l,1,karachai,2008
172464000000,l,2,kareliia,2004
172464000000,k,3,kareliia,2008
172464000000,l,4,kareliia,2006
172464000000,k,3,kareliia,2007
7998460000,l,5,karmadona,2003
7998460000,k,1,karmadona,2011
7998460000,k,1,karmadona,2004
39695000000,l,1,kasimov,2005
39695000000,k,2,kasimov,2003
39695000000,k,1,kasimov,2007
49932100000,l,1,kaspiisk,2011
49932100000,k,1,kaspiisk,2013
49932100000,l,1,kaspiisk,2006
49932100000,k,1,kaspiisk,2005
168126000000,k,1,katun',2008
168126000000,l,1,katun',2011
168126000000,k,1,katun',2004
45938100000,k,1,kashira,2007
45938100000,k,1,kashira,2012
95796800000,l,1,kemerovo,2005
95796800000,k,1,kemerovo,2010
95796800000,l,1,kemerovo,2010
95796800000,k,1,kemerovo,2003
172464000000,l,1,keret',2008
172464000000,l,1,kizhi,2003
172464000000,k,2,kizhi,2003
172464000000,l,1,kizhi,2006
128003000000,k,2,kizel,2007
49932100000,l,1,kiziliurt,2006
49932100000,k,1,kiziliurt,2009
49932100000,l,5,kizliar,2010
49932100000,k,3,kizliar,2010
49932100000,l,3,kizliar,2005
49932100000,k,1,kizliar,2004
86516000,k,1,kil'din,2003
84480900000,l,1,kimry,2005
84480900000,k,1,kimry,2007
84480900000,l,1,kimry,2011
84480900000,k,1,kimry,2012
84212600000,k,2,kingisepp,2007
84212600000,l,1,kingisepp,2008
53541500000,k,2,kinel',2004
21633900000,l,2,kineshma,2005
21633900000,k,1,kineshma,2003
21633900000,l,2,kineshma,2013
21633900000,k,1,kineshma,2006
29138200000,k,1,kirzhach,2010
29138200000,l,1,kirzhach,2012
145444000000,l,2,kirillov,2012
145444000000,k,1,kirillov,2007
145444000000,l,2,kirillov,2004
145444000000,k,4,kirillov,2008
84212600000,k,2,kirishi,2008
84212600000,l,1,kirishi,2011
120598000000,l,1,kirov,2006
120598000000,k,5,kirov,2009
120598000000,l,2,kirov,2003
120598000000,k,1,kirov,2011
143071000000,l,1,kirovsk,2007
143071000000,k,2,kirovsk,2008
143071000000,l,1,kirovsk,2011
34463000000,k,1,kirsanov,2006
34463000000,k,1,kirsanov,2010
95796800000,l,1,kiselevsk,2010
66180200000,l,3,kislovodsk,2003
66180200000,k,4,kislovodsk,2003
66180200000,l,1,kislovodsk,2011
66180200000,k,2,kislovodsk,2009
45938100000,l,1,klimovsk,2005
45938100000,k,1,klimovsk,2006
45938100000,l,1,klimovsk,2006
45938100000,k,1,klimovsk,2003
45938100000,l,2,klin,2008
45938100000,k,7,klin,2006
45938100000,l,1,klin,2004
45938100000,k,1,klin,2003
534822000000,k,1,kogalym,2007
534822000000,l,2,kogalym,2010
534822000000,k,1,kogalym,2012
29801200000,l,1,kozel'sk,2006
29801200000,k,1,kozel'sk,2011
45938100000,l,2,kolomna,2009
45938100000,k,3,kolomna,2010
45938100000,l,2,kolomna,2012
45938100000,k,1,kolomna,2012
1404590000,l,1,kolpino,2009
1404590000,k,2,kolpino,2010
1404590000,l,1,kolpino,2007
115530000,l,2,kolyma,2009
115530000,k,4,kolyma,2008
115530000,l,1,kolyma,2003
115530000,k,2,kolyma,2003
177881000000,l,1,kol'tsovo,2011
177881000000,k,2,kol'tsovo,2012
177881000000,k,2,kol'tsovo,2003
1404590000,l,1,komarovo,2009
1404590000,k,2,komarovo,2012
1404590000,l,1,komarovo,2006
1404590000,k,2,komarovo,2005
417593000000,l,2,komi,2011
417593000000,k,2,komi,2003
417593000000,l,1,komi,2009
417593000000,k,2,komi,2005
84480900000,l,1,konakovo,2005
84480900000,k,1,konakovo,2005
84480900000,l,1,konakovo,2008
84480900000,k,1,konakovo,2010
534822000000,k,1,konda,2005
534822000000,l,1,konda,2009
172464000000,l,16,kondopoga,2006
172464000000,k,3,kondopoga,2009
172464000000,l,1,kondopoga,2008
172464000000,k,1,kondopoga,2008
88634600000,l,1,kopeisk,2011
88634600000,k,2,kopeisk,2012
88634600000,l,3,kopeisk,2012
88634600000,k,3,kopeisk,2008
25714300000,l,1,kortneva,2007
25714300000,k,2,kortneva,2009
25714300000,k,1,kortneva,2010
60248100000,l,2,kostroma,2008
60248100000,k,3,kostroma,2011
60248100000,k,4,kostroma,2004
307619000000,l,2,kotlas,2004
307619000000,k,1,kotlas,2003
307619000000,l,1,kotlas,2006
307619000000,k,1,kotlas,2005
75617300000,k,4,koshmana,2003
128003000000,k,1,krasnovishersk,2009
45938100000,l,2,krasnogorsk,2003
45938100000,k,1,krasnogorsk,2010
45938100000,k,1,krasnogorsk,2003
75617300000,l,2,krasnodar,2011
75617300000,k,4,krasnodar,2003
75617300000,l,1,krasnodar,2006
75617300000,k,6,krasnodar,2006
45938100000,k,1,krasnoznamensk,2008
413018000000,l,7,krasnokamensk,2007
413018000000,k,4,krasnokamensk,2005
413018000000,l,2,krasnokamensk,2006
413018000000,k,1,krasnokamensk,2003
128003000000,k,1,krasnokamsk,2007
128003000000,l,1,krasnokamsk,2011
194272000000,l,3,krasnotur'insk,2006
194272000000,k,1,krasnotur'insk,2012
194272000000,k,1,krasnotur'insk,2007
4496400000,l,2,krasnoiarsk,2010
4496400000,k,5,krasnoiarsk,2012
4496400000,l,4,krasnoiarsk,2008
4496400000,k,10,krasnoiarsk,2007
45938100000,l,1,kratovo,2008
45938100000,k,1,kratovo,2009
45938100000,l,1,kratovo,2012
15610900,l,2,kronshtadt,2012
15610900,k,1,kronshtadt,2012
15610900,k,1,kronshtadt,2010
88634600000,k,1,kropachevo,2003
